Category,Question,Explanation,Answer,isRight,Answer,isRight,...
"JavaScript Zertifikat","What expression will return true if 1. let shape1 = {x: 10, y: 20} and 1. let shape2 = {x: 10, y: 20} have the same
property values?
","Question: 1
The [removed]shape1.x == shape2.x) && (shape1.y == shape2.y) checks whether the x and y properties of shape1 have
the same values as the x and y properties of shape2, respectively. If both conditions are true, the expression returns
true, indicating that shape1 and shape2 have the same property values.
In the specific example provided, both objects have the same values for the x and y properties, so the expression will
evaluate to true. However, note that this expression only checks for equality of the specific properties x and y, and does
not check for equality of any additional properties that might exist in the objects.
","shape1.x == shape2.y ",0,"(shape1.x == shape2.x) && (shape1.y == shape2.y) ",1,"shape1 == shape2 ",0,"Object.keys(shape1) === Object.keys(shape2) ",0
"JavaScript Zertifikat","What is the output of the following JavaScript code?
let num = 5; 
let str = ""5""; 
console.log(num === str); 
","Question: 2
The output of this code will be false. In JavaScript, the === operator performs a strict equality comparison. This means
that not only do the values being compared need to be the same, but they must also have the same type. In this case,
num is a number and str is a string. Even though they have the same value, they are different types, so the comparison
returns false.
",False,1,True,0,5,0,"""5""",0
"JavaScript Zertifikat","How can you list all the keys of the object ""point""?
","Question: 3
You can list all the keys of the object ""point"" using one of the following methods:
Using the Object.keys() method:
let point = {x: 100, y: 200};
let keys = Object.keys(point);
console.log(keys); // [""x"", ""y""]
This method returns an array of the object's own enumerable property names, which in this case are ""x"" and ""y"".
Using a for...in loop:
let point = {x: 100, y: 200};
for (let key in point) {
    console.log(key); // ""x"", ""y""
}
This method iterates over all the enumerable properties of an object, including its prototype chain. In this case, it will only
print the own properties ""x"" and ""y"".
Both methods will give you an array of the keys or print them to the console.
","Object.keys(point) ",1,"point.listKeys() ",0,"point.list() ",0,"Not possible",0
"JavaScript Zertifikat","What will be the result of executing the following code:
let obj1 = {a: 1}; 
let obj2 = {b: 2}; 
let obj3 = Object.assign({c: 3}, obj1, obj2); 
console.log(obj3); 
","Question: 4
The output of the following code will be:
{c: 3, a: 1, b: 2}
Explanation:
Object.assign() is used to copy the values of all enumerable properties from one or more source objects to a target
object. In this case, obj3 is the target object, and obj1 and obj2 are the source objects. The properties from the source
objects are added to the target object in the order in which they appear in the arguments list. So in this case, the c
property is added first, followed by the a and b properties. The resulting object has all three properties: c with a value of
3, a with a value of 1, and b with a value of 2.
","{a: 1, b: 2, c: 3} ",0,"{c: 3} ",0,"{c:3, a: 1, b: 2} ",1,"{a: 1} ",0
"JavaScript Zertifikat","What will appear on the console after executing the following code?
let book = { title: ""To Kill a Mockingbird"", author: ""Harper Lee"" }; 
let library = Object.assign({}, book, {pages: 324}); 
book.author = ""John Doe""; 
console.log(`${library.title} by ${library.author}, ${library.pages} pages`); 
","Question: 5
This is because the library object was created by cloning the book object using Object.assign(), and adding a new
property pages with a value of 324. Changing the author property of the book object after creating library has no effect
on library, as it is a separate object with its own set of properties. 
","To Kill a Mockingbird by Harper Lee, 324 pages",1,"undefined by John Doe, 324 pages ",0,"100 100 undefined ",0,"'To Kill a Mockingbird' by John Doe, 324 pages ",0
"JavaScript Zertifikat","let shape = {x: 100, y: 100} 
//insert line here 
shape.show(); 
What is the correct missing line in order for the console to show the following after running the whole code:
100 100
","Question: 6
The correct line to insert is shape.show = function() { console.log(${this.x} ${this.y}); }; because it defines a new
method called show on the shape object. This method uses the console.log() function to output the values of the x and y
properties of the shape object. When the show method is called on the shape object, it will output the values of the x and
y properties to the console, which in this case will be 100 100.
","shape.show = function() { console.log(`${this.x} ${this.y}`); }; ",1,"point.show = () => console.log(${shape.x} ${shape.y}); ",0,"shape.show = () => console.log(${this.x} ${this.y}); ",0,"point.show = function(){console.log(${this.x} ${this.y})}; ",0
"JavaScript Zertifikat","What is the correct way to access the height property in the building object
{ name: ""Empire State Building"", height: 443.2 }
","Question: 7
To access the height property in the building object { name: ""Empire State Building"", height: 443.2 }, you can use dot
notation as follows: 1. building.height This will return the value 443.2, which is the value assigned to the height property
of the building object. 
","building(""height"") ",0,"building.height ",1,"building[""height""] ",0,"building.height(); ",0
"JavaScript Zertifikat","What is the correct way to check if a number is an integer in JavaScript? 
","Question: 8
In JavaScript, you can check if a number is an integer using the Number.isInteger() method. This method returns true if
the passed value is an integer, otherwise it returns false. Here's an example:
let num = 42;
console.log(Number.isInteger(num)); // Output: true
let floatNum = 42.5;
console.log(Number.isInteger(floatNum)); // Output: false
In addition, you can also check if a value is an integer using the modulo operator (%). If a number is divided by 1 and the
remainder is 0, then it's an integer. Here's an example:
let num = 42;
console.log(num % 1 === 0); // Output: true 
let floatNum = 42.5;
console.log(floatNum % 1 === 0); // Output: false
However, the Number.isInteger() method is the recommended way to check if a number is an integer because it is more
precise and handles edge cases correctly.
","Number.isNaN(number) ",0,"number.isInteger() ",0,"Math.ceil(number) === number ",0,"number % 1 === 0 ",1
"JavaScript Zertifikat","What will appear on the console after executing the following code? 1. let shape1 = {x: 100, y: 200}; 2. let shape2 =
shape1; 3. shape2.x = 0; 4. console.log(`${shape1.x} ${shape2.y}`);
","Question: 9
After executing the given code, the console will display the following output:
0 200
Here's how the code works:
A new object shape1 is created with properties x and y set to 100 and 200, respectively.
A new variable shape2 is declared and assigned the value of shape1. This means that both shape1 and shape2 now refer
to the same object in memory.
The x property of shape2 is set to 0.
The values of shape1.x and shape2.y are output to the console. Since shape2.x was changed to 0 in step 3, the output
will show 0 for the shape1.x property and 200 for the shape2.y property.
Note that since shape1 and shape2 both refer to the same object, changing the value of a property on one object will also
change it on the other object.
","200 100 ",0,"0 100 ",0,"100 200 ",0,"0 200 ",1
"JavaScript Zertifikat","What will be the value of foo after executing the following code:
let obj = {a: 1}; 
let foo = obj;
obj.a = 2; 
","Question: 10
The value of foo will be a reference to the same object as obj. Therefore, after obj.a is changed to 2, foo.a will also be 2.
","{a: 1} ",0,undefined,0,null,0,"{a: 2}",1
