Category,Question,Explanation,Answer,isRight,Answer,isRight,...
"PC Grundlagen","Was bedeutet die Abkürzung CPU?","Die CPU ist das zentrale Rechenelement eines Computers.","Central Processing Unit",1,"Central Power Unit",0,"Computer Personal Unit",0,"Central Processor Unit",0
"PC Grundlagen","Was ist RAM?","RAM ist der flüchtige Speicher eines Computers der schnell Daten speichern und abrufen kann.","Readily Accessible Memory",0,"Random Access Memory",1,"Read-Only Memory",0,"Remote Access Memory",0
"PC Grundlagen","Welches dieser Geräte ist ein Eingabegerät?","Die Maus ist ein Gerät mit dem Benutzer Daten in den Computer eingeben können.",Drucker,0,Monitor,0,Maus,1,Lautsprecher,0
"PC Grundlagen","Was ist die Hauptaufgabe eines Betriebssystems?","Das Betriebssystem verwaltet die Hardware und bietet grundlegende Dienste für Computerprogramme.","Hardware reparieren",0,"Software verkaufen",0,"Hardware verwalten",1,"Software entwickeln",0
"PC Grundlagen","Welche Speicherart ist flüchtig?","RAM verliert seine gespeicherten Daten wenn der Computer ausgeschaltet wird.",ROM,0,SSD,0,Harddisk,0,RAM,1
"PC Grundlagen","Welche Schnittstelle wird hauptsächlich für Monitore verwendet?","HDMI ist eine weit verbreitete Schnittstelle für die Übertragung von Video- und Audiosignalen.",USB,0,HDMI,1,Ethernet,0,VGA,0
"PC Grundlagen","Welcher Dateityp ist eine ausführbare Datei?","Dateien mit der Endung .exe sind ausführbare Dateien die Programme starten.",.docx,0,.exe,1,.mp3,0,.jpg,0
"PC Grundlagen","Was ist eine IP-Adresse?","Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.","Ein Netzwerkprotokoll",0,"Eine Hardwarekomponente",0,"Eine eindeutige Netzwerkadresse",1,"Ein Speichermodul",0
"PC Grundlagen","Was bedeutet BIOS?","Das BIOS ist die Firmware die den Startvorgang eines Computers steuert.","Basic Input Output System",1,"Binary Input Output System",0,"Basic Information Output System",0,"Best Integrated Operating System",0
"PC Grundlagen","Welcher Speicher ist nicht flüchtig?","ROM speichert Daten dauerhaft auch wenn der Computer ausgeschaltet ist.",RAM,0,Cache,0,ROM,1,Register,0
"PC Grundlagen","Was ist eine Firewall?","Eine Firewall schützt ein Netzwerk vor unautorisierten Zugriffen.","Ein Speichergerät",0,"Ein Drucker",0,"Eine Sicherheitsmaßnahme",1,"Ein Netzwerkkabel",0
